Estados;Ano;Floresta;Formação Florestal não Natural ;Agropecuária;Área sem Vegetação;Água e Ambientes Marinhos;Não Observado;Área Total do Território
Rondônia;2006;15364948,76;981998,8232;7146712,856;58867,91467;210743,2311;11,43631278;23763283,02
Rondônia;2007;15213367,12;984926,1452;7295848,223;59520,05547;209609,608;11,87081073;23763283,02
Rondônia;2008;15113203,14;989183,0429;7393565,687;60633,72854;206685,7201;11,70314667;23763283,02
Rondônia;2009;15068116,3;989715,6405;7437716,812;61341,10118;206381,908;11,26236915;23763283,02
Rondônia;2010;15038848,05;989960,9135;7463988,649;62498,07154;207975,5465;11,79336554;23763283,02
Rondônia;2011;14938326,35;1008158,562;7553982,59;63593,24698;199210,6501;11,61940901;23763283,02
Rondônia;2012;14853098,73;1004713,046;7620573,377;64529,79921;220357,3322;10,73482786;23763283,02
Rondônia;2013;14772023,57;1009462,708;7694069,035;65828,02106;221888,7801;10,90972204;23763283,02
Rondônia;2014;14675374,61;1014921,469;7779985,236;66721,86236;226267,6258;12,22336951;23763283,02
Rondônia;2015;14533183,13;1027939,45;7917977,102;67943,44844;216230,9201;8,975785394;23763283,02
Rondônia;2016;14361134,22;1018087,939;8094598,863;68800,81631;220650,1754;11,00583392;23763283,02
Rondônia;2017;14201308,56;1009290,318;8251583,417;69644,10222;231446,2414;10,38209514;23763283,02
Rondônia;2018;14069648,82;1008525,087;8375782,759;70786,00241;238531,7361;8,622692542;23763283,02
Rondônia;2019;13877352,63;1011290,518;8562130,624;71275,86336;241224,4048;8,980761792;23763283,02
Rondônia;2020;13715719,14;1025097,828;8720937,306;72100,63356;229418,2573;9,86258656;23763283,02
Rondônia;2021;13490404,85;1031623,097;8934740,963;74098,56013;232405,2638;10,29367188;23763283,02
Rondônia;2022;13248533,18;1000377,137;9187011,254;75704,06195;251638,7489;18,64172961;23763283,02
Rondônia;2023;12966273,08;1019635,625;9444910,993;83124,05088;249319,2082;20,06310344;23763283,02
