NOME_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,SITUACAO_EXIBIDOR
CINEMARK RIOMAR RECIFE 6,EM FUNCIONAMENTO,24/06/2021,152.0,4.0,1.0,1.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 7,EM FUNCIONAMENTO,24/06/2021,185.0,4.0,1.0,1.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 8,EM FUNCIONAMENTO,24/06/2021,231.0,5.0,3.0,3.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
CINEMARK RIOMAR RECIFE 9,EM FUNCIONAMENTO,24/06/2021,231.0,5.0,3.0,3.0,SIM,NÃO,SIM,RECIFE,51110-160,PE,REGULAR
SALA GOLDEN SQUARE 01,EM FUNCIONAMENTO,24/04/2021,364.0,6.0,,,NÃO,NÃO,NÃO,SÃO BERNARDO DO CAMPO,09726-901,SP,REGULAR
SALA GOLDEN SQUARE 02,EM FUNCIONAMENTO,24/04/2021,168.0,4.0,,,SIM,NÃO,SIM,SÃO BERNARDO DO CAMPO,09726-901,SP,REGULAR
SALA GOLDEN SQUARE 03,EM FUNCIONAMENTO,24/04/2021,168.0,4.0,,,SIM,NÃO,SIM,SÃO BERNARDO DO CAMPO,09726-901,SP,REGULAR
SALA GOLDEN SQUARE 04,EM FUNCIONAMENTO,24/04/2021,168.0,4.0,,,SIM,NÃO,SIM,SÃO BERNARDO DO CAMPO,09726-901,SP,REGULAR
SALA GOLDEN SQUARE 05,EM FUNCIONAMENTO,24/04/2021,250.0,4.0,,,SIM,NÃO,SIM,SÃO BERNARDO DO CAMPO,09726-901,SP,REGULAR
CINEMARK TIETÊ PLAZA SALA 01,EM FUNCIONAMENTO,24/04/2021,283.0,6.0,3.0,6.0,SIM,NÃO,SIM,SÃO PAULO,05145-000,SP,REGULAR
