BIOMA,ESTADO,MUNICIPIO,DTIMGANT,DTIMGDEP
Caatinga,BAHIA,Presidente Jânio Quadros,14/07/2023,17/02/2024
Caatinga,BAHIA,Mundo Novo,28/09/2023,28/02/2024
Cerrado,BAHIA,São Desidério,10/12/2023,13/02/2024
Cerrado,BAHIA,Formosa do Rio Preto,15/12/2023,10/05/2024
Mata Atlântica,BAHIA,Encruzilhada,19/08/2023,19/11/2023
Cerrado,BAHIA,Riachão das Neves,13/02/2021,03/02/2022
Cerrado,BAHIA,Luís Eduardo Magalhães,18/11/2023,22/04/2024
Caatinga,BAHIA,Antas,20/04/2023,07/03/2024
Caatinga,BAHIA,Santa Rita de Cássia,17/12/2023,25/02/2024
Caatinga,BAHIA,Coribe,31/05/2023,30/03/2024
Caatinga,BAHIA,Itaberaba,25/07/2023,17/02/2024
Caatinga,BAHIA,São José do Jacuípe,09/04/2022,17/02/2024
Caatinga,BAHIA,Saúde,27/08/2023,21/03/2024
Caatinga,BAHIA,Mirangaba,26/01/2023,31/01/2024
Caatinga,BAHIA,Piatã,23/08/2023,14/01/2024
Caatinga,BAHIA,Brejolândia,04/03/2023,27/04/2023
Caatinga,BAHIA,Pedro Alexandre,14/04/2023,25/09/2023
Caatinga,BAHIA,Coribe,31/05/2023,16/01/2024
Caatinga,BAHIA,Paratinga,31/05/2023,13/01/2024
Caatinga,BAHIA,Sátiro Dias,17/02/2023,31/01/2024
Caatinga,BAHIA,Jeremoabo,13/05/2023,22/03/2024
Caatinga,BAHIA,Nordestina,14/07/2023,24/01/2024
Caatinga,BAHIA,Piripá,20/04/2023,31/01/2024
Caatinga,BAHIA,Andorinha,17/04/2023,28/02/2024
Caatinga,BAHIA,Feira da Mata,01/10/2023,25/12/2023
Caatinga,BAHIA,Seabra,05/10/2023,18/01/2024
Caatinga,BAHIA,Jeremoabo,18/10/2023,10/04/2024
Caatinga,BAHIA,Novo Horizonte,17/02/2023,15/01/2024
Caatinga,BAHIA,Itiúba,14/07/2023,15/05/2024
Cerrado,BAHIA,Canápolis,05/04/2021,04/06/2021
Caatinga,BAHIA,Santa Rita de Cássia,01/06/2023,25/07/2023
Caatinga,BAHIA,Coribe,02/04/2023,01/08/2023
Caatinga,BAHIA,Riacho de Santana,27/04/2023,12/01/2024
Caatinga,BAHIA,Lapão,24/08/2023,06/02/2024
Caatinga,BAHIA,Boa Vista do Tupim,24/06/2023,10/03/2024
Cerrado,BAHIA,São Desidério,21/05/2021,20/01/2022
Cerrado,BAHIA,Luís Eduardo Magalhães,09/11/2020,17/04/2021
Cerrado,BAHIA,Riachão das Neves,16/09/2020,02/07/2021
Cerrado,BAHIA,Cristópolis,28/12/2023,18/01/2024
Caatinga,BAHIA,Bom Jesus da Lapa,20/08/2023,20/01/2024
Caatinga,BAHIA,Gentio do Ouro,13/09/2023,24/02/2024
Caatinga,BAHIA,Euclides da Cunha,30/09/2023,17/02/2024
Caatinga,BAHIA,Serrinha,16/03/2023,07/01/2024
Caatinga,BAHIA,Boa Vista do Tupim,28/06/2023,16/03/2024
Caatinga,BAHIA,Xique-Xique,14/04/2023,13/07/2023
Caatinga,BAHIA,Jacaraci,04/01/2023,19/03/2024
Caatinga,BAHIA,Rafael Jambeiro,22/09/2023,02/03/2024
Caatinga,BAHIA,Cordeiros,06/02/2023,01/02/2024
Caatinga,BAHIA,Brotas de Macaúbas,24/02/2023,04/06/2023
Caatinga,BAHIA,Itapicuru,28/09/2023,17/02/2024
Cerrado,BAHIA,Baianópolis,13/05/2022,02/06/2022
Caatinga,BAHIA,Bom Jesus da Lapa,31/03/2023,18/01/2024
Caatinga,BAHIA,Brumado,12/12/2022,16/02/2024
Caatinga,BAHIA,Utinga,10/11/2023,31/01/2024
Caatinga,BAHIA,Jacobina,19/08/2023,22/01/2024
Caatinga,BAHIA,Santa Rita de Cássia,28/06/2023,11/11/2023
Caatinga,BAHIA,Jeremoabo,06/03/2023,27/10/2023
Caatinga,BAHIA,Jeremoabo,05/03/2023,29/09/2023
Caatinga,BAHIA,Campo Formoso,08/03/2023,13/01/2024
Caatinga,BAHIA,Correntina,25/07/2023,13/10/2023
Caatinga,BAHIA,Campo Alegre de Lourdes,23/05/2023,04/07/2023
Caatinga,BAHIA,Campo Formoso,19/08/2023,13/01/2024
Caatinga,BAHIA,Matina,30/01/2023,25/12/2023
Caatinga,BAHIA,Ponto Novo,30/05/2023,19/10/2023
Caatinga,BAHIA,Pilão Arcado,19/07/2023,07/05/2024
Caatinga,BAHIA,Barra,12/09/2023,15/12/2023
Caatinga,BAHIA,Bonito,16/04/2023,15/05/2024
Caatinga,BAHIA,Queimadas,06/01/2023,20/03/2024
Caatinga,BAHIA,Ituaçu,06/08/2023,08/01/2024
